ID;CATEGORY;SUB CATEGORY;PRODUCT NAME;PRICE;STOCK;IMAGE URL
1;Dairy & Bakery;Dairy;Amul Elaichi Shrikhand 500 g (Container);93;36;https://www.jiomart.com/images/product/150x150/590067375/amul-elaichi-shrikhand-500-g-container-0-20210324.jpg
2;Dairy & Bakery;Dairy;Amul Badam Pista Shrikhand 500 g (Container);106,95;45;https://www.jiomart.com/images/product/150x150/590086910/amul-badam-pista-shrikhand-500-g-container-0-20210324.jpg
3;Dairy & Bakery;Dairy;Dreamery Toned Milk 1 L (Tetra Pak);59;41;https://www.jiomart.com/images/product/150x150/590124546/dreamery-toned-milk-1-l-tetra-pak-0-20210108.jpg
4;Dairy & Bakery;Dairy;Amul Butter 500 g (Carton);225;32;https://www.jiomart.com/images/product/150x150/490001392/amul-butter-500-g-carton-0-20210315.jpg
5;Dairy & Bakery;Dairy;Gowardhan Butter 500 g (Carton);220;46;https://www.jiomart.com/images/product/150x150/590041291/gowardhan-butter-500-g-carton-0-20210324.jpg
6;Dairy & Bakery;Dairy;Amul Butter 100 g (Carton);45;25;https://www.jiomart.com/images/product/150x150/490001387/amul-butter-100-g-carton-0-20210315.jpg
7;Dairy & Bakery;Dairy;Britannia Winkin' Cow Strawberry Milkshake 200 ml (Tetra Pak);23,45;49;https://www.jiomart.com/images/product/150x150/491491634/britannia-winkin-cow-strawberry-milkshake-200-ml-tetra-pak-0-20210311.jpg
8;Dairy & Bakery;Dairy;Britannia Winkin' Cow Vanilla Milkshake 200 ml (Tetra Pak);23,45;32;https://www.jiomart.com/images/product/150x150/491491632/britannia-winkin-cow-vanilla-milkshake-200-ml-tetra-pak-0-20210311.jpg
9;Dairy & Bakery;Dairy;Amul Masti Spiced Buttermilk 1 L (Tetra Pak);47;35;https://www.jiomart.com/images/product/150x150/490001781/amul-masti-spiced-buttermilk-1-l-tetra-pak-0-20210115.jpg
10;Dairy & Bakery;Dairy;Hershey's Strawberry Milkshake 200 ml (Tetra Pak);26,25;48;https://www.jiomart.com/images/product/150x150/491335843/hershey-s-strawberry-milkshake-200-ml-tetra-pak-0-20210316.jpg
11;Dairy & Bakery;Dairy;Hershey's Chocolate Milkshake 200 ml (Tetra Pak);26,25;34;https://www.jiomart.com/images/product/150x150/491335842/hershey-s-chocolate-milkshake-200-ml-tetra-pak-0-20210316.jpg
12;Dairy & Bakery;Dairy;Nestle EveryDay Dairy Whitener 1 kg (Pouch);463;37;https://www.jiomart.com/images/product/150x150/490191597/nestle-everyday-dairy-whitener-1-kg-pouch-0-20210316.jpg
13;Dairy & Bakery;Dairy;Hershey's Cookies 'n' Creme Milkshake 200 ml (Tetra Pak);26,25;33;https://www.jiomart.com/images/product/150x150/491335844/hershey-s-cookies-n-creme-milkshake-200-ml-tetra-pak-0-20200727.jpg
14;Dairy & Bakery;Dairy;Yakult Probiotic Drink 325 ml (Bottle);70;32;https://www.jiomart.com/images/product/150x150/590034287/yakult-probiotic-drink-325-ml-cup-0-20210324.jpg
15;Dairy & Bakery;Dairy;Amul Pasteurised Butter 200 g (Tub);93,1;32;https://www.jiomart.com/images/product/150x150/491168210/amul-pasteurised-butter-200-g-tub-0-20210315.jpg
16;Dairy & Bakery;Dairy;Amulya Dairy Whitener 500 g (Pouch);185;45;https://www.jiomart.com/images/product/150x150/490011303/amulya-dairy-whitener-500-g-pouch-0-20210325.jpg
17;Dairy & Bakery;Dairy;Amul School Pack Butter 100 g (Pack);55,29;47;https://www.jiomart.com/images/product/150x150/490306318/amul-school-pack-butter-100-g-pack-0-20210324.jpg
18;Dairy & Bakery;Dairy;Delicious Fat Spread 100 g (Carton);15,3;35;https://www.jiomart.com/images/product/150x150/490010286/delicious-fat-spread-100-g-carton-0-20201007.jpg
19;Dairy & Bakery;Dairy;Nestle EveryDay Dairy Whitener 200 g (Pouch);98,5;30;https://www.jiomart.com/images/product/150x150/490188707/nestle-everyday-dairy-whitener-200-g-pouch-0-20210312.jpg
20;Dairy & Bakery;Dairy;Yakult Light Probiotic Drink 325 ml (Bottle);85;31;https://www.jiomart.com/images/product/150x150/590034288/yakult-light-probiotic-drink-339-ml-0-20210324.jpg
21;Dairy & Bakery;Dairy;Cavin's Strawberry Milkshake 200 ml (Tetra Pak);26,25;43;https://www.jiomart.com/images/product/150x150/590126886/cavin-s-strawberry-milkshake-200-ml-tetra-pak-0-20210303.jpg
22;Dairy & Bakery;Dairy;Cavin's Vanilla Milkshake 200 ml (Tetra Pak);26,25;33;https://www.jiomart.com/images/product/150x150/590126884/cavin-s-vanilla-milkshake-200-ml-tetra-pak-0-20210303.jpg
23;Dairy & Bakery;Dairy;Amul Kool Elaichi Flavoured Milk 180 ml (Bottle);18;44;https://www.jiomart.com/images/product/150x150/491582578/amul-kool-elaichi-flavoured-milk-180-ml-bottle-0-20210216.jpg
24;Dairy & Bakery;Dairy;Amul Kool Kesar Flavoured Milk 180 ml (Bottle);18;33;https://www.jiomart.com/images/product/150x150/491582577/amul-kool-kesar-flavoured-milk-180-ml-bottle-0-20210223.jpg
25;Dairy & Bakery;Dairy;Amul Moti Homogenised Toned Long Life Milk 450 ml (ESL pouch);26,04;29;https://www.jiomart.com/images/product/150x150/490983639/amul-moti-homogenised-toned-long-life-milk-450-ml-esl-pouch-0-20210309.jpg
26;Dairy & Bakery;Dairy;Amul Kool Badam Flavoured Milk 200 ml (Bottle);18,6;48;https://www.jiomart.com/images/product/150x150/491062294/amul-kool-badam-flavoured-milk-200-ml-bottle-0-20210401.jpg
27;Dairy & Bakery;Dairy;Amul Mithai Mate Sweetened Condensed Milk 200 g (Tin);52,64;37;https://www.jiomart.com/images/product/150x150/490983577/amul-mithai-mate-sweetened-condensed-milk-200-g-tin-0-20210315.jpg
28;Dairy & Bakery;Dairy;Amulya Dairy Whitener 200 g (Pouch);76;25;https://www.jiomart.com/images/product/150x150/490016467/amulya-dairy-whitener-200-g-pouch-0-20210330.jpg
29;Dairy & Bakery;Dairy;Amulya Dairy Whitener 1 kg (Pouch);361;28;https://www.jiomart.com/images/product/150x150/490001530/amulya-dairy-whitener-1-kg-pouch-0-20210330.jpg
30;Dairy & Bakery;Dairy;Amul Kool Rose Flavoured Milk 180 ml (Bottle);18,6;43;https://www.jiomart.com/images/product/150x150/491582579/amul-kool-rose-flavoured-milk-180-ml-bottle-0-20210224.jpg
31;Dairy & Bakery;Dairy;Chitale Amba Full Cream Shrikhand 500 g (Container);116,25;28;https://www.jiomart.com/images/product/150x150/590067377/chitale-amba-full-cream-shrikhand-500-g-container-0-20210216.jpg
32;Dairy & Bakery;Dairy;Chitale Keshar Full Cream Shrikhand 500 g (Container);116,25;37;https://www.jiomart.com/images/product/150x150/590067380/chitale-keshar-full-cream-shrikhand-500-g-container-0-20210216.jpg
33;Dairy & Bakery;Dairy;Chitale Elaichi Full Cream Shrikhand 500 g (Container);111,6;43;https://www.jiomart.com/images/product/150x150/590067378/chitale-elaichi-full-cream-shrikhand-500-g-container-0-20210216.jpg
34;Dairy & Bakery;Dairy;iD Natural Thick Curd 400 g (Cup);45,5;25;https://www.jiomart.com/images/product/150x150/590141183/id-natural-thick-curd-400-g-cup-0-20210401.jpg
35;Dairy & Bakery;Dairy;Nandini Slim Skimmed Long Life Milk 1 L (Tetra Pak);55,8;26;https://www.jiomart.com/images/product/150x150/490489048/nandini-slim-skimmed-long-life-milk-1-l-tetra-pak-0-20210316.jpg
36;Dairy & Bakery;Dairy;Amul Tru Mango Fruit Nutrition 180 ml (Tetra Pak);9,5;28;https://www.jiomart.com/images/product/150x150/491642444/amul-tru-mango-fruit-nutrition-180-ml-tetra-pak-0-20210216.jpg
37;Dairy & Bakery;Dairy;Nestle Everyday Dairy Whitener 400 g (Pouch);191;39;https://www.jiomart.com/images/product/150x150/491010436/nestle-everyday-dairy-whitener-400-g-pouch-0-20210316.jpg
38;Dairy & Bakery;Dairy;Amul Tru Apple Fruit Nutrition 180 ml (Tetra Pak);9,5;35;https://www.jiomart.com/images/product/150x150/491642446/amul-tru-apple-fruit-nutrition-180-ml-tetra-pak-0-20210216.jpg
39;Dairy & Bakery;Dairy;Amul Mithai Mate Sweetened Condensed Milk 400 g (Tin);97;29;https://www.jiomart.com/images/product/150x150/490001538/amul-mithai-mate-sweetened-condensed-milk-400-g-tin-0-20210219.jpg
40;Dairy & Bakery;Dairy;Amul Taaza Toned Long Life Milk 200 ml (Tetra Pak);13,3;36;https://www.jiomart.com/images/product/150x150/491022105/amul-taaza-toned-long-life-milk-200-ml-tetra-pak-0-20210309.jpg
41;Dairy & Bakery;Dairy;Amul Taaza Homogenised Toned Long Life Milk 1 L (Tetra Pak);61;28;https://www.jiomart.com/images/product/150x150/490010311/amul-taaza-homogenised-toned-long-life-milk-1-l-tetra-pak-0-20210210.jpg
42;Dairy & Bakery;Dairy;Lactel Toned Long Life Milk 1 L (Tetra Pak);59;49;https://www.jiomart.com/images/product/150x150/590126816/lactel-toned-long-life-milk-1-l-tetra-pak-0-20210212.jpg
43;Dairy & Bakery;Dairy;Nandini Goodlife Toned Long Life Milk 1 L (Tetra Pak);58;30;https://www.jiomart.com/images/product/150x150/490478026/nandini-goodlife-toned-long-life-milk-1-l-tetra-pak-0-20210414.jpg
